Central Committee of the Democratic Front for the Reunification of Korea Secretariat Director Kim Wan Su visits Vietnam and Laos,central-committee-of-the-democratic-front-for-the-reunification-of-korea-secretariat-director-kim-wan-su-visits-vietnam-and-laos,"<p>A delegation of the Central Committee of the Democratic Front for the Reunification of Korea led by Kim Wan-su, director of the Secretariat of the Committee, leaves Pyongyang for Vietnam and Laos.</p>",
Chairman of the Nampho City People’s Committee Ri Kil Chun leads friendship delegation to China,chairman-of-the-nampho-city-peoples-committee-ri-kil-chun-leads-friendship-delegation-to-china,"<p>A friendship delegation led by Ri Kil-chun, the chairman of the Nampho City People’s Committee, returns home after visiting China.</p>",
Chief of the General Staff of the KPA Kim Kyok Sik in Cuba,chief-of-the-general-staff-of-the-kpa-kim-kyok-sik-in-cuba,"<p>A military delegation led by Kim Kyok-sik, the chief of the General Staff of the KPA, leaves Pyongyang to visit Cuba.</p>",
Choe Ryong-hae meets Vladimir Putin,choe-ryong-hae-meets-vladimir-putin,"<p>Choe Ryong-hae, a WPK secretary, arrives in Russia as a special envoy of Kim Jong-un. Choe Ryong-hae meets with Vladimir Putin, president of the Russian Federation, at the Kremlin, Moscow.</p>",https://www.nknews.org/2014/11/north-koreas-choe-ryong-hae-meets-putin/
Choe Thae Bok Attends Third World Conference of Speakers  of Parliament in Geneva,choe-thae-bok-attends-third-world-conference-of-speakers-of-parliament-in-geneva,"<p>Choe Thae Bok holds meetings with the chairman of the Standing Committee of the Chinese National People’s Congress and speakers of the parliaments of Cuba, Syria, Mongolia, India and Iran.</p><p>‍</p>",
Col. General Jong Chang Bok leads Logistical Personnel delegation to China ,col-general-jong-chang-bok-leads-logistical-personnel-delegation-to-china,<p>A delegation of logistical personnel of the KPA headed by Col. General Jon Chang-bok leaves Pyongyang to visit China.</p>,
Delegation of Academy of Social Sciences to China,delegation-of-academy-of-social-sciences-to-china,"<h4>Delegation of Academy of Social Sciences Returns</h4><p><em>Oct. 17, 2019</em></p><p><em>KCNA</em></p><p>Pyongyang, October 17 (KCNA) -- A delegation of the Academy of Social Sciences led by President Ri Hye Jong returned home on Thursday after visiting China.</p><p>‍</p>",
Delegation of Architects Union of Korea Leaves for China,delegation-of-architects-union-of-korea-leaves-for-china,,
Delegation of Central Court to China,delegation-of-central-court-to-china,"<h5>Delegation of Central Court Leaves for China</h5><p><em>July 16, 2019</em></p><p> A delegation of the Central Court led by President Kang Yun Sok left here on Monday to visit the People's Republic of China.</p><p>‍</p><h5>Delegation of Central Court Back Home</h5><p><em>July 21, 2019</em></p><p>A delegation of the Central Court headed by President Kang Yun Sok returned home on Saturday after visiting China.</p><p>‍</p>",
Delegation of Central Court to Lao and Vietnam,delegation-of-central-court-to-lao,"<h5>Delegation of Central Court Leaves for Laos Vietnam</h5><p><em>May 5, 2019</em></p><p>A delegation of the Central Court headed by President Kang Yun Sok left here on Saturday to visit Laos and Vietnam.</p><p>‍</p><h5>Delegation of Central Court of DPRK Meets Lao President</h5><p><em>May 10, 2019</em></p><p>A delegation of the Central Court of the DPRK headed by President Kang Yun Sok on a visit to Laos met and had a talk with Bounnang Vorachith general secretary of the Central Committee of the Lao Peoples Revolutionary Party and president of the Lao Peoples Democratic Republic at the presidential building on May 7. Bounnang Vorachith expressed the conviction that the bilateral relations would grow stronger saying that the traditional friendly and cooperative relations between the two parties two states and two peoples continue to develop on good terms under the deep care of Kim Jong Un chairman of the Workers Party of Korea and chairman of the State Affairs Commission of the Democratic Peoples Republic of Korea. He wished Kim Jong Un Supreme Leader of the DPRK great success in his noble work for leading the building of a powerful socialist country. Present there were the DPRK ambassador to Laos the president of the Peoples Supreme Court of Laos and officials concerned.</p><p>‍</p><h5>Delegation of Central Court of DPRK Meets VicePresident of Vietnam</h5><p><em>May 12, 2019</em></p><p>A delegation of the Central Court of the Democratic Peoples Republic of Korea headed by President Kang Yun Sok on a visit to Vietnam met and had a talk with Dang Thi Ngoc Thinh vicepresident of the Socialist Republic of Vietnam at the presidential building on May 10. The vicepresident said that brisk exchange has been made in various sectors after the establishment of diplomatic relations between the two countries noting that the firm foundation for the development of bilateral relations was provided by President Ho Chi Minh and President Kim Il Sung. He wished the DPRK greater success in improving the peoples standard of living under the guidance of ChairmanKim Jong Un. That day the delegation met with the minister of Justice of Vietnam.</p><p>‍</p><h5>Delegation of Central Court of DPRK Returns</h5><p><em>May 14, 2019</em></p><p>A delegation of the Central Court of the Democratic Peoples Republic of Korea headed by President Kang Yun Sok returned home on Monday after visiting the Lao Peoples Democratic Republic and the Socialist Republic of Vietnam.</p><p>‍</p>",
Delegation of  Democratic Front for the Reunification of Korea (DFRK) Central Committee to China,delegation-of-democratic-front-for-the-reunification-of-korea-dfrk-central-committee-to-china,"<h5>Delegation of DFRK Central Committee Leaves for China</h5><p><em>June 27, 2019</em></p><p>A delegation of the Central Committee of the Democratic Front for the Reunification of Korea (DFRK) led by Kim Wan Su presidium member of the Central Committee of the DFRK left here on Wednesday to visit China.</p><p>‍</p>",
Delegation of DPRK-China Friendship Association to China,delegation-of-dprk-china-friendship-association-to-china,"<h5>Delegation of DPRK-China Friendship Association Leaves</h5><p><em>April 10, 2019</em></p><p>A delegation of the DPRK-China Friendship Association led by Chairman Pak Kyong Il vice-chairman of the Korean Committee for Cultural Relations with Foreign Countries left here on Tuesday to take part in a Korean photo book and art exhibition to be held in China to mark the first anniversary of the historic first visit to China by Kim Jong Un chairman of the State Affairs Commission of the Democratic People's Republic of Korea and the 70th anniversary of the establishment of diplomatic relations between the DPRK and China.</p><h5>Delegation of DPRK-China Friendship Association Meets Chinese Dignitary</h5><p><em>April 12, 2019</em></p><p>A delegation of the DPRK-China Friendship Association headed by Chairman Pak Kyong Il vice-chairman of the Korean Committee for Cultural Relations with Foreign Countries met with Yang Chuantang vice-chairman of the National Committee of the Chinese People's Political Consultative Conference in Beijing on April 10.Pak Kyong Il said that thanks to the four rounds of meetings between the supreme leaders of the two countries the bilateral relations have undergone unprecedented development.He expressed the will to jointly strive for the overall prosperity of the bilateral relations of friendship this year marking the 70th anniversary of the establishment of diplomatic relations between the two countries.Yang Chuantang said that the two countries have a long-standing tradition of friendship adding: Invariable is the unwavering stand of the Chinese party and government on boosting bilateral relations no matter how the international and regional situations may change.He hoped that the Korean people would achieve bigger successes in implementing the new strategic line of the Workers' Party of Korea under the guidance of Chairman Kim Jong Un.Present at the meeting were the DPRK charge d'affaires ad interim to China a vice-chairperson of the Chinese People's Association for Friendship with Foreign Countries and other officials concerned.</p><h5>Delegation of DPRK-China Friendship Association Returns Home</h5><p><em>April 14, 2019</em></p><p>A delegation of the DPRK-China Friendship Association led by Chairman Pak Kyong Il vice-chairman of the Korean Committee for Cultural Relations with Foreign Countries came back home on Saturday after taking part in the opening ceremony of a Korean photo book and art exhibition held in China to mark the first anniversary of the historic first visit to China byKim Jong Un chairman of the State Affairs Commission of the Democratic People's Republic of Korea and the 70th anniversary of the establishment of diplomatic relations between the DPRK and China.</p><p>‍</p>",
Delegation of DPRK-China Friendship Parliamentary Group Leaves for China,delegation-of-dprk-china-friendship-parliamentary-group-leaves-for-china,"<p>Pyongyang, October 21 (KCNA) -- A delegation of the DPRK-China Friendship Parliamentary Group led by Chairman Choe Sang Gon, president of nobrstrongfont ''Kim Il Sungfontstrongnobr University and minister of Higher Education, left here on Monday to visit China.</p><p>‍</p><h5>DPRK-China Friendship Parliamentary Group Delegation Back Home</h5><p><em>Oct. 26, 2019</em></p><p><em>Rodong Sinmun</em></p><p>A delegation of the DPRK-China Friendship Parliamentary Group led by Chairman Choe Sang Gon president of Kim Il Sung University and minister of Higher Education returned home on Friday after visiting China.</p><p>‍</p>",
"Delegation of DPRK Ministry of Foreign Affairs to Syria, Iran, Azerbaijan and Mongolia (NAM)",delegation-of-dprk-ministry-of-foreign-affairs-to-syria-iran-azerbaijan-and-mongolia-nam,"<h5>Delegation of DPRK Ministry of Foreign Affairs Back Home</h5><p><em>May 15, 2019</em></p><p>A delegation of the DPRK Ministry of Foreign Affairs headed by Vice Minister Pak Myong Guk returned home on Tuesday after visiting Syria Iran Azerbaijan and Mongolia which are member states of the NonAligned Movement.</p><p>‍</p>",
Delegation of DPRK Olympic Committee Leaves to Switzerland,delegation-of-dprk-olympic-committee-leaves-to-switzerland,<p>A delegation of the DPRK Olympic Committee led by Chairman Kim Il Guk minister of Physical Culture and Sports left here on Thursday to visit Switzerland.</p>,
Delegation of DPRK Red Cross Society Leaves to China,delegation-of-dprk-red-cross-society-leaves-to-china,"<h5>Delegation of DPRK Red Cross Society Leaves for China</h5><p><em>May 15, 2019</em></p><p>A delegation of the DPRK Red Cross Society led by Paek Yong Ho executive vicechairman of its Central Committee left here on Tuesday to visit China.</p><p>‍</p>",
Delegation of DPRK Red Cross Society to Mongolia,delegation-of-dprk-red-cross-society-to-mongolia,"<h5>Delegation of DPRK Red Cross Society Returns</h5><p><em>July 9, 2019</em></p><p>A delegation of the DPRK Red Cross Society headed by Paek Yong Ho executive vice-chairman of its Central Committee came back home on Monday after taking part in a meeting of leading officials of Red Cross organizations in the East Asian region and the celebration for the 80th founding anniversary of the Mongolian Red Cross held in Mongolia.</p><p>‍</p>",
Delegation of DPRK-Russia Fishery Joint Committee to 31st Joint Committee on Fishery Cooperation,delegation-of-dprk-russia-fishery-joint-committee-back-home,<p>A delegation of the DPRK-Russia Fishery Joint Committee headed by Vice-Minister of Fisheries Kim Chang Do returned home on Monday after attending the 31st meeting of the DPRK-Russia Joint Committee on cooperation in the fishery held in Russia.</p><p>‍</p>,
Delegation of DPRK University Sports Association to Italy,delegation-of-dprk-university-sports-association-to-italy,"<h5>Delegation of DPRK University Sports Association Leaves for Italy</h5><p><em>June 28, 2019</em></p><p>A delegation of the DPRK University Sports Association led by Chairman Jo Chol vice-chairman of the Education Commission left here Thursday to take part in the 30th World University Summer Games to be held in Italy.</p><h5>Delegation of DPRK University Sports Association Returns Home</h5><p><em>July 19, 2019</em></p><p>A delegation of the DPRK University Sports Association led by Chairman Jo Chol vice-chairman of the Education Commission returned home on Thursday after taking part in the 30th Summer Universiad held in Italy.DPRK players took part in women's football and men's judo games.Women football players took the first place after defeating its Japanese rival 2:1 and Kim Chol Gwang came third in 73kg category of men's Judo. </p><p>‍</p>",
Delegation of Educationalists Leaves to China,delegation-of-educationalists-leaves-to-china,"<h5>Delegation of Educationalists Leaves for China</h5><p><em>June 29, 2019</em></p><p>A delegation of the educationalists at Kim Chaek University of Technology led by Hong So Hon president of the university left here on Friday to visit China.</p><h5>Delegation of Educationalists Returns</h5><p><em>July 7, 2019</em></p><p>A delegation of the educationalists at Kim Chaek University of Technology led by Hong So Hon president of the university returned home on Saturday after visiting China.</p><p>‍</p>",
Delegation of General Administration of Civil Aviation of DPRK Leaves to China,delegation-of-general-administration-of-civil-aviation-of-dprk-leaves-to-china,"<h5>Delegation of General Administration of Civil Aviation of DPRK Leaves for China</h5><p><em>May 29, 2019</em></p><p>A delegation of the General Administration of Civil Aviation of the DPRK led by General Director Rim Kwang Ung left here on Tuesday to visit China.</p><p>‍</p>",
Delegation of Institute of Intl Studies to China,delegation-of-institute-of-intl-studies-to-china,"<h5>Delegation of Institute of Intl Studies Back Home</h5><p><em>May 31, 2019</em></p><p>A delegation of the Institute of International Studies headed by President O Yong Ran came back home on Thursday after visiting China.</p><p>‍</p>",
Delegation of Journalists Union of Korea Leaves for China,delegation-of-journalists-union-of-korea-leaves-for-china,<p>A delegation of the Journalists Union of Korea headed by Chairman of its Central Committee Cha Sung Su left here Wednesday to visit China.</p>,
Delegation of Kimilsungist-Kimjongilist Youth League Leaves to Russia and Laos,delegation-of-kimilsungist-kimjongilist-youth-league-leaves-to-russia-and-laos,"<h5>Delegation of Kimilsungist-Kimjongilist Youth League Leaves for Russia Laos</h5><p><em>Aug. 11, 2019</em></p><p>A delegation of the Kimilsungist-Kimjongilist Youth League led by Kim Song Il vice-chairman of its Central Committee left here on Saturday to take part in the International Youth Forum to be held in Russia and visit Laos.</p><p>‍</p>",
Delegation of Korean Committee for Solidarity with Cuba Travels to Nepal,delegation-of-korean-committee-for-solidarity-with-cuba-travels-to-nepal,"<h5>Delegation of Korean Committee for Solidarity with Cuba Leaves for Nepal</h5><p><em>July 24, 2019</em></p><p>A delegation of the Korean Committee for Solidarity with Cuba headed by So Ho Won vice-chairman of the Korean Committee for Cultural Relations with Foreign Countries and vice-chairman of the Korean Committee for Solidarity with Cuba Tuesday left here to attend the ninth Asia-Pacific Conference on Solidarity to Cuba due in Nepal.</p><h5>Delegation of Korean Committee for Solidarity with Cuba Back Home</h5><p><em>July 31, 2019</em></p><p>A delegation of the Korean Committee for Solidarity with Cuba headed by Vice-Chairman So Ho Won who is also vice-chairman of the Korean Committee for Cultural Relations with Foreign Countries returned home Tuesday after attending the Ninth Asia-Pacific Conference on Solidarity to Cuba held in Nepal.</p><p>‍</p>",
Delegation of Ministry of External Economic Relations at 12th China-Northeast Asia Exposition held in China,delegation-of-ministry-of-external-economic-relations-at-12th-china-northeast-asia-exposition-held-in-china,<p>A delegation of the Ministry of External Economic Relations of the DPRK headed by Minister Kim Yong Jae came back home on Monday after attending the 12th China-Northeast Asia Exposition held in China.</p><p>‍</p>,
Delegation of Ministry of Land and Environment Protection to 3rd Forum of Ministers of Environment of the Asia-Pacific Region in Singapore.,delegation-of-ministry-of-land-and-environment-protection-to-3rd-forum-of-ministers-of-environment-of-the-asia-pacific-region-in-singapore,"<h5>Delegation of Ministry of Land and Environment Protection Leaves for Singapore</h5><p><em>Jan. 20, 2019</em></p><p> A delegation of the Ministry of Land and Environment Protection led by Minister Kim Kyong Jun left here on Saturday to take part in the 3rd Forum of Ministers of Environment of the Asia-Pacific Region to be held in Singapore.</p><p>‍</p><h5>Delegation of Ministry of Land and Environment Protection Back Home</h5><p><em>Jan. 30, 2019</em></p><p>A delegation of the Ministry of Land and Environment Protection led by Minister Kim Kyong Jun returned home on Tuesday after taking part in the 3rd Forum of Ministers of Environment of the Asia-Pacific Region held in Singapore.</p><p>‍</p>",
Delegation of Ministry of People's Armed Forces of DPRK to 8th Moscow Conference on International Security,delegation-of-ministry-of-peoples-armed-forces-of-dprk-to-8th-moscow-conference-on-international-security,"<h5>Delegation of Ministry of People's Armed Forces of DPRK Leaves for Russia</h5><p><em>April 23, 2019</em></p><p>A delegation of the Ministry of the People's Armed Forces of the Democratic People's Republic of Korea led by Army General No Kwang Chol minister of the People's Armed Forces left here on Monday to take part in the 8th Moscow seminar on international security.</p><p>‍</p><h5>Delegation of Ministry of People's Armed Forces of DPRK Back Home</h5><p><em>April 27, 2019</em></p><p>A delegation of the Ministry of the People's Armed Forces of the Democratic People's Republic of Korea led by Army General No Kwang Chol minister of the People's Armed Forces returned home on Friday after taking part in the eighth Moscow Conference on International Security.</p><p>‍</p>",
Delegation of Ministry of Posts and Telecommunications of DPRK to Singapore,delegation-of-ministry-of-posts-and-telecommunications-of-dprk-leaves-to-singapore,"<h5>Delegation of Ministry of Posts and Telecommunications of DPRK Leaves to Singapore</h5><p><em>June 23, 2019</em></p><p>A delegation of the Ministry of Posts and Telecommunications headed by Minister Kim Kwang Chol left here Saturday to attend the AsiaPacific ICT Ministerial Meeting and the Smart Nation Innovations Week to be held in Singapore.</p><p>‍</p><h5>Delegation of Ministry of Posts and Telecommunications of DPRK Back Home</h5><p><em>June 30, 2019</em></p><p>A delegation of the Ministry of Posts and Telecommunications headed by Minister Kim Kwang Chol returned home on Saturday after attending the Asia-Pacific ICT Ministerial Meeting and the Smart Nation Innovations Week held in Singapore.</p><p>‍</p>",
Delegation of Ministry of Railways to 47th ministerial meeting of the Organization of Railways Cooperation held in Tashkent Uzbekistan.,delegation-of-ministry-of-railways-to-47th-ministerial-meeting-of-the-organization-of-railways-cooperation-held-in-tashkent-uzbekistan,"<h5>Delegation of Ministry of Railways Returns Home</h5><p><em>June 12, 2019</em></p><p>A delegation of the Ministry of Railways headed by Minister Jang Hyok returned home Tuesday after taking part in the 47th ministerial meeting of the Organization of Railways Cooperation held in Tashkent Uzbekistan.</p><p>‍</p>",
Delegation of National Tourism Administration to Cuba,delegation-of-national-tourism-administration-to-cuba,"<h5>Delegation of National Tourism Administration Leaves for Cuba</h5><p><em>June 25, 2019</em></p><p>A delegation of the National Tourism Administration of the DPRK headed by General Director Jo Song Gol left here on Monday to visit Cuba.</p><p>‍</p><h5>Delegation of National Tourism Administration Back Home</h5><p><em>July 9, 2019</em></p><p>A delegation of the National Tourism Administration of the DPRK headed by General Director Jo Song Gol returned home on Monday after visiting Cuba.</p><p>‍</p>",
Delegation of Rodong Sinmun Offices Leaves for China,delegation-of-rodong-sinmun-offices-leaves-for-china,<p>A delegation of the Rodong Sinmun Offices of the DPRK headed by Deputy Editor-in-Chief Kim Jin Su on a visit to China met and had a talk with Huang Kunming member of the Political Bureau member of the Secretariat and head of the Publicity Department of the Central Committee of the Communist Party of China (CPC) at the Great Hall of the People in Beijing on August 23.Huang Kunming said that the friendly relations between China and the DPRK common precious wealth provided by the leaders of the elder generation of the two countries open a new historic chapter thanks to the five meetings between General Secretary Xi Jinping and Chairman Kim Jong Un.He hoped that the Korean people would achieve excellent successes in the struggle for implementing the five-year strategy for national economic development under the wise leadership of Kim Jong Un.He expressed his expectation that the party papers of the two countries would boost the exchange and cooperation to promote the development of the traditional friendship between China and the DPRK.Attending there were the DPRK ambassador to China and officials of the Chinese People's Daily.</p><p>‍</p>,
Delegation of State Emergency Disaster Committee to Switzerland,delegation-of-state-emergency-disaster-committee-to-switzerland,"<h5>Delegation of State Emergency Disaster Committee Leaves for Switzerland</h5><p><em>May 10, 2019</em></p><p>A delegation of the State Emergency Disaster Committee led by Chairman Kang Il Sop left here on Thursday to attend the 6th world forum for prevention of danger of disaster to be held in Switzerland.</p><p>‍</p><h5>Delegation of State Emergency Disaster Committee Back Home</h5><p><em>May 24, 2019</em></p><p>A delegation of the State Emergency Disaster Committee led by Chairman Kang Il Sop came back home on Thursday after taking part in the 6th world forum for prevention of danger of disaster held in Switzerland.</p><p>‍</p>",
Delegation of the Kim Il-sung Socialist Youth League led by Jong Yong-won visits Russia,delegation-of-the-kim-il-sung-socialist-youth-league-led-by-jong-yong-won-visits-russia,"<p>A delegation of the Kim Il-sung Socialist Youth League led by Jong Yong-won, vice-chairman of its Central Committee, leaves Pyongyang to visit Russia.</p><p>‍</p>",
Democratic Women's Union Vice Chairman Chae Chun Hui attends Women's International Democratic Federation Executive Committee Meeting in Portugal,democratic-womens-union-vice-chairman-chae-chun-hui-attends-womens-international-democratic-federation-executive-committee-meeting-in-portugal,"<p>A delegation of the Democratic Women’s Union of (North) Korea led by the vice chairwoman of its central committee, Chae Chun Hui, leaves Pyongyang to attend a session of the Executive Committee of the Women’s International Democratic Federation in Lisbon, Portugal. A delegation from the Democratic Women’s Union of (North) Korea led by the vice chairwoman of its Central Committee, Chae Chun-hui, returns home after attending a meeting of the Executive Committee of the Women’s International Democratic Federation in Lisbon, Portugal.</p>",
Democratic Women’s Union Vice Chairman Chae Chun-hui visits China ,democratic-womens-union-vice-chairman-chae-chun-hui-visits-china,"<p>A delegation of the Democratic Women’s Union of (North) Korea led by Chae Chun-hui, vice chairwoman of its Central Committee, leaves for China.</p>",
Democratic Women’s Union Vice Chairman Chae Chun Hui visits Mexico,democratic-womens-union-vice-chairman-chae-chun-hui-visits-mexico,"<p>A delegation of the Democratic Women’s Union of (North) Korea headed by Chae Chun-hui, vice chairwoman of its Central Committee, leaves Pyongyang to visit Mexico.</p>",
Democratic Women's Union Vice Chairwoman Chae Chun Hui attends 15th congress of Women's international Democratic Federation in Brazil,democratic-womens-union-vice-chairwoman-chae-chun-hui-attends-15th-congress-of-womens-international-democratic-federation-in-brazil,"<p>A delegation of the Democratic Women’s Union of (North) Korea, led by its Vice Chairwoman Chae Chun-hui, to take part in the 15th congress of the Women’s International Democratic Federation to be held in Brazil.</p>",
Deputy Cabinet Secretariat Director Ri Yong Sok visits Armur Region of Russia,deputy-cabinet-secretariat-director-ri-yong-sok-visits-armur-region-of-russia,"<p>A delegation led by Ri Yong Sok, deputy director of the Secretariat of the &nbsp;Cabinet, leaves Pyongyang to visit the Armur Region of Russia. A North Korean delegation led by Ri Yong-sok, vice director of the Secretariat of the Cabinet, returns home after its visit to the Armur Region of Russia.</p>",
Diplomatic Corps General Director Mun SOng Mo visits Mongolia,diplomatic-corps-general-director-mun-song-mo-visits-mongolia,<p>A delegation of the North Korean Bureau of Diplomatic Corps Affairs led by General Director Mun Song Mo comes back home ending its visit to Mongolia.</p>,
DPRK and Cuba hold military talks in Havana,dprk-and-cuba-hold-military-talks-in-havana,<p>The KCNA says talks between North Korean and Cuban military delegations took place in Havana on June 30.</p>,
DPRK and Japanese Red Cross talks in Beijing ,dprk-and-japanese-red-cross-talks-in-beijing,<p>The talks between the DPRK Red Cross Society and Japan Red Cross Society are held in Beijing.</p>,
DPRK Central Public Prosecutors Office Delegation to China,dprk-central-public-prosecutors-office-delegation-to-china,<p>A delegation of the DPRK Central Public Prosecutors Office led by Director Kim Myong Gil returned home on Tuesday after visiting China.</p>,
DPRK Delegation Leaves for 7th Military World Games and 9th Beijing Xiangshan Forum,dprk-delegation-leaves-for-7th-military-world-games-and-9th-beijing-xiangshan-forum,"<p>Pyongyang, October 17 (KCNA) -- A DPRK delegation led by Army Colonel General Kim Hyong Ryong, who is vice-minister of the People's Armed Forces, left here on Thursday to participate in the opening ceremony of the 7th Military World Games to be held in China. It is also scheduled to take part in the 9th Beijing Xiangshan Forum.</p>",https://www.nknews.org/2019/10/north-korean-vice-defense-minister-arrives-in-beijing-ahead-of-xiangshan-forum/
DPRK Delegation to Azerbaijan for 18th Non-Aligned Movement Summit,dprk-delegation-to-azerbaijan-for-18th-non-aligned-movement-summit,"<h5>DPRK Delegation Arrives in Baku for NAM Summit</h5><p><em>Oct. 26, 2019</em></p><p><em>Rodong Sinmun</em></p><p>A delegation of the Democratic People's Republic of Korea (DPRK) led by Choe Ryong Hae member of the Presidium of the Political Bureau of the Central Committee of the Workers' Party of Korea first vice-chairman of the State Affairs Commission of the DPRK and president of the Presidium of the Supreme People's Assembly arrived in Baku the capital of Azerbaijan on Thursday to take part in the 18th NAM Summit.The delegation was greeted at the airport by the first vice-president of the national assembly of Azerbaijan and the DPRK permanent representative at the UN. </p><h5>DPRK Delegation Arrives at Baku for NAM Summit</h5><p><em>Oct. 25, 2019</em></p><p><em>KCNA</em></p><p>Baku, October 24 (KCNA-correspondent) -- A delegation of the Democratic People's Republic of Korea (DPRK) led by Choe Ryong Hae, member of the Presidium of the Political Bureau of the Central Committee of the Workers' Party of Korea, first vice-chairman of the State Affairs Commission of the DPRK and president of the Presidium of the Supreme People's Assembly, arrived in Baku, the capital of Azerbaijan, Thursday to take part in the 18th NAM Summit. The delegation was greeted at the airport by the first vice-president of the national assembly of Azerbaijan and the DPRK permanent representative at the UN.</p><p>‍</p>",
DPRK Economic Delegation to China,dprk-economic-delegation-to-china,"<h5>DPRK Government Delegation Leaves for China</h5><p><em>April 24, 2019</em></p><p>A delegation of the government of the Democratic People's Republic of Korea led by Kim Yong Jae minister of External Economic Relations left here on Tuesday to take part in the second Belt and Road Forum for International Cooperation to be held in China.</p><p>‍</p>",
DPRK-EU Friendship Parliamentary Committee Chairman Ri Jong Hyok visits European countries ,dprk-eu-friendship-parliamentary-committee-chairman-ri-jong-hyok-visits-european-countries,"<p>A delegation from the North’s Supreme People’s Assembly led by Ri Jong Hyok, chairman of the DPRK-EU Friendship Parliamentary Group, returns home, ending its visit to European countries.</p>",
