INR Brief re: ROK Domestic Political and Economic Situation in South Korea,inr-brief-re-rok-domestic-political-and-economic-situation-in-south-korea,"INR describes political situation going into 1986 as being shaped by ""confrontation between President Chun, supported by hard/liner advisers, and a wide spectrum of primarily urban society which is demanding liberalization of the political system."" Assessment reports that opposition is skeptical of Chun's promise to step down in 1988 and his refusal to alter the constitution before then. Failing to do so is seen by opposition as a step to ensure built/in advantages for ruling party remain into the 1988 election to prevent Kim Dae-jung from taking power as he is ""completely unacceptable to government and military leadership.""","United States Department of State, INR",,"United States Department of State, INR",,
INR Intelligence Brief: USSR/North Korea- Unusual Expressions of Mutual Support,inr-intelligence-brief-ussr-north-korea-unusual-expressions-of-mutual-support,"INR report on April meeting between Kim Yong Nam (FM) and Soviet General Secretary Gorbachev and Foreign Minister Gromyko. According to INR, the USSR endorsed a DPRK proposal for inter-Korean parliamentary talks in exchange for North Korea ""cooling toward"" Cambodian Prince Sihanouk. Two sides remained in disagreement over North Korean request for additional Soviet military assistance (including new aircraft) which would never be resolved. ","United States Department of State, INR",,United States,,
INR report on South Korean technology intensification and potential technology transfer to communist countries,inr-report-on-south-korean-technology-intensification-and-potential-technology-transfer-to-communist-countries,South Korea is continuing to develop technology industries in response to protectionist policies in traditional markets. South Koreans have also benefited from trade with Communist countries. This increased trade and technological development makes it important for the US to engage in discussions on strategic technology.,"United States Department of State, INR",,,,
"INR Report: ""South Korea: Economy in Transition""",inr-report-south-korea-economy-in-transition,"INR report on the state of South Korea's economy and ROKG aim to join the ranks of advanced industrial economies by the 1990s. Notes that Chun has supported liberalization of imports and foreign investment as well as moving away from emphasis on large companies (chaebols) in favor of small and medium companies. However ROK still faces challenges according to INR assessment, including a foreign debt of $43 billion ranking 4th among developing countries as well as protectionism and negative trends in the international economy. ","United States Department of State, INR",,United States,,
Letter from 32 NKDP Assemblymen to President Reagan urging him to be more forceful in the US push for democracy in order to contain anti-American feelings in the ROK,letter-from-32-nkdp-assemblymen-to-president-reagan-urging-him-to-be-more-forceful-in-the-us-push-for-democracy-in-order-to-contain-anti-american-feelings-in-the-rok,"Members of the National Assembly wrote to President Reagan denouncing comments made by Secretary Schultz as fueling anti-Americanism among the Korean public. The members called for the President to make a clear commitment to the democratic movement rather than President Chun. At the same time, the Members noted that US commitment to the democratization movement does not correspond to US intervention in internal affairs.",US Embassy Seoul,,,,
"Letter from Acting Assistant Secretary for Legislative and Intergovernmental affairs, James W. Dyer, to the Chairman of the House Committee on Foreign Affairs, Dante B. Fascell, on HCR 261",letter-from-acting-assistant-secretary-for-legislative-and-intergovernmental-affairs-james-w-dyer-to-the-chairman-of-the-house-committee-on-foreign-affairs-dante-b-fascell-on-hcr-261,"James W. Dyer responds to the House Concurrent Resolution 261, pointing out several reasons the tone and wording may be inappropriate. First, he finds problem with the proposal that foreign assistance be tied to democratization in ROK, because the foreign assistance is provided to ensure ROK is capable of defending against DPRK security threats. Furthermore, he states that the resolution could offend Koreans, as it may be perceived as a US effort to intervene or dictate Korean internal affairs.","United States Department of State, East Asia Pacific Bureau",,,United States Department of State,
"Letter from Acting Assistant Secretary for Legislative and Intergovernmental affairs, James W. Dyer, to the Chairman of the Senate Committee on Foreign Relations, Richard G. Lugar, on SCR 100",letter-from-acting-assistant-secretary-for-legislative-and-intergovernmental-affairs-james-w-dyer-to-the-chairman-of-the-senate-committee-on-foreign-relations-richard-g-lugar-on-scr-100,"James W. Dyer responds to the Senate Concurrent Resolution 261, pointing out the same concerns about substance and tone that he found in the House Concurrent Resolution 261.","United States Department of State, East Asia Pacific Bureau",,,United States Department of State,
Letter from Charge d'affaires of UN DPRK,letter-from-charge-daffaires-of-un-dprk,"The DPRK announced that the military had recently completed the building of an 8km dam, named the Nampo barrage. The DPRK stated that this was not only an example of the might of Korea Juche ideas, but also further proof that the DPRK was interested in building peace on the peninsula. The DPRK continued to state that it was waiting for the US and ROK to adopt similar peaceful measures and continue peaceful negotiations.",United Nations,,,,
Letter from Chun to Reagan,letter-from-chun-to-reagan,President Chun Doo Hwan thanks President Reagan for his congratulatory remarks and expresses interest in continuing to strengthen the US-ROK relationship.,Republic of Korea,,,,
Letter from DPRK Foreign Minister to the UN Secretary-General about Team Spirit 86.,letter-from-dprk-foreign-minister-to-the-un-secretary-general-about-team-spirit-86,"Kim Yong Nam, Minister of Foreign Affairs, requests the United Nations Secretary General to call upon the US and ROK forces to cancel a planned joint military exercise, ï¿½Team Spirit 86.ï¿½ Kim states that the US and ROK, by refusing to match DPRK commitments to halt military exercises, is escalating conflict on the Korean Peninsula and impeding peacebuilding efforts.",United Nations,,,United Nations Archives,
Letter from DPRK Ministry of Foreign Affairs to the President of the Security Council,letter-from-dprk-ministry-of-foreign-affairs-to-the-president-of-the-security-council,The DPRK representatives once again state that military exercises should be suspended in order to reduce tensions on the Korean Peninsula and allow for successful talks between North and South Korea. The DPRK announced that it will not conduct military exercises beginning in February and during any talks between the two sides. DPRK called upon the U.S and ROK to make similar announcements of suspension of joint military exercises.,United Nations,,,United Nations Archives,
Letter from President Chun to President Reagan ,letter-from-president-chun-to-president-reagan,Letter sent from Reagan to Chun Doo-hwan expressing his sentiment in the lead up to the US-Soviet Geneva Summit held in November 1985. Chun offered his support,Office of the President of the Republic of Korea,,South Korea,,
Letter from President Chun to President Reagan on his departure from the United States,letter-from-president-chun-to-president-reagan-on-his-departure-from-the-united-states,President Chun Doo Hwan thanks President Reagan for providing security during his trip to Europe.,US Embassy Seoul,,,United States Department of State,
"Letter from President Chun to President Reagan, replying to President Reagan's letter of March 28th",letter-from-president-chun-to-president-reagan-replying-to-president-reagans-letter-of-march-28th,The Embassy of ROK passes on a letter to the U.S. State Department with President Chunï¿½s reply to President Reagan regarding limitations to nuclear testing.,Republic of Korea,,,South Korea,
Letter from the DPRK Foreign Minister to the President of the Security Council condemning Team Spirit 86,letter-from-the-dprk-foreign-minister-to-the-president-of-the-security-council-condemning-team-spirit-86,DPRK condemned the US-ROK joint military exercises as ï¿½recklessï¿½ actions and a ï¿½test nuclear war.ï¿½ DPRK stated that ROK invitations to observe the joint military exercises could not be viewed seriously by the DPRK. They also stated that the US and ROK should directly shoulder the blame for the suspension of inter-Korean dialogue as a result of their threatening actions.,United Nations,,,United Nations Archives,
Letter from the ROK Permanent Observer to the President of the Security Council condemning the Soviet statement on KAL 007,letter-from-the-rok-permanent-observer-to-the-president-of-the-security-council-condemning-the-soviet-statement-on-kal-007,ROK responded to the statements made by Soviet Union representatives regarding the Korean Airline 007 shot down in Soviet Airspace. The ROK denied that the airline was on an intelligence gathering mission and claimed the Soviet Union had not taken sufficient measures to identify or warn the aircraft before shooting. The ROK also stated that the Soviet Unionï¿½s handling of the shooting prevented investigators ability to find and reveal the truth of the incident.,United Nations,,,United Nations Archives,
Letter from the ROK Permanent Observer to the President of the Security Council on reasons for Team Spirit 86,letter-from-the-rok-permanent-observer-to-the-president-of-the-security-council-on-reasons-for-team-spirit-86,"The ROK representative refutes North Korean claims that the US and ROKï¿½s joint military actions causes escalating tension and impeded inter-Korean dialogue. Instead, the ROK states that North Koreaï¿½s claims are propaganda, as it has conducted its own military exercises along the Demilitarized Zone, rejected offers to observe the defensive nature of US-ROK joint military efforts, and suspended talks they previously participated in during times of ongoing US-ROK joint military exercises.",United Nations,,,United Nations Archives,
Letter to U.S. President Reagan from ROK President Chun,letter-to-u-s-president-reagan-from-rok-president-chun,"Letter of thanks from Chun to Reagan following five day stay in Honolulu. In it, Chun expresses congratulations to Reagan on entering a second term as well as hope for continued strong ROK-US ties.",Office of the President of the Republic of Korea,,South Korea,,
Letters from Congresswoman Barbara A. Mikulski to President Reagan and Secretary Schultz,letters-from-congresswoman-barbara-a-mikulski-to-president-reagan-and-secretary-schultz,"Rep. Barbara Mikulski calls upon President Nixon and Secretary Schultz to take action regarding South Korean President Chunï¿½s refusal to allow popular elections. At the risk of unrest Reg violence, Mikulski suggests that the US should demand direct popular elections and an end to political repression and should refuse Korean imports if these demands are refused.","United States Department of State, East Asia Pacific Bureau",,,United States Department of State,
List of commodities that the USTR says ROK should liberalize,list-of-commodities-that-the-ustr-says-rok-should-liberalize,"The US agreed to increase South Korean Generalized System of Preferences (GSP) benefits provided three high US trade priorities were addressed, including increasing or liberalizing imports for technology and agricultural products.","United States Department of State, INR",,,,
Memorandum on The Internal Political Scene on the Eve of the Chun Visit,memorandum-on-the-internal-political-scene-on-the-eve-of-the-chun-visit,INR summary of latest developments in the ROK internal political scene prior to President Chun's visit to Washington DC in April 1985,"United States Department of State, INR",,United States,,
"MOFA reply to Embassy non-paper on North Korean subversion cases. Recounts the details of Yang Dong-Hwa, Kim Song-man, and Hwang Tae-Kwon's case",mofa-reply-to-embassy-non-paper-on-north-korean-subversion-cases-recounts-the-details-of-yang-dong-hwa-kim-song-man-and-hwang-tae-kwons-case,Several student protestors were arrested and charged with conducting espionage on behalf of the North Korean state. The key evidence in the trials were defendantsï¿½ own confessions. There is some discrepancy in their imprisonment records of the government and outside organizations.,US Embassy Seoul,,,,
Notes on the Secretary-General's meeting with the Charge d'affaires of the DPRK on delivering the January 30th letter,notes-on-the-secretary-generals-meeting-with-the-charge-daffaires-of-the-dprk-on-delivering-the-january-30th-letter,DPRK once again asks for the UN Secretary General to stop US military actions on the Korean Peninsula. The UN Secretary General agrees to bring up the issues of concern to the United States and other relevant parties.,United Nations,,,United Nations Archives,
Notes on UN Secretary-General meeting with Deputy FM DPRK,notes-on-un-secretary-general-meeting-with-deputy-fm-dprk,"In a meeting with the Secretary General, DPRK stated that Korea should only be given membership to the United Nations, because entering as two divided countries would make reunification more difficult. The Secretary General stated that the UN was open to accepting Korea as one or two delegations, depending on the agreement between DPRK and ROK.",United Nations,,,,
Preparatory Brief for Amb-at-Large Richard T. Kennedy's Meeting with ROK Commissioner Lee,preparatory-brief-for-amb-at-large-richard-t-kennedys-meeting-with-rok-commissioner-lee,"Briefing memo sent to Ambassador at Large Richard T. Kennedy before his meeting with Commissioner Lee following ROK press reports of a North Korean nuclear reactor being used for the production of fissile nuclear material as a part of a potential weapons program. ROK press attributed information to unknown government sources, prompting worry in the State Department that the ROKG would not believe US assurances that it had not come to this conclusion. Embassy stressed that the Amb. should reiterate that the US was not aware of a nuclear weapons program in the North.",US Embassy Seoul,,United States,,
Primary British report on Kim Dae Jungâ€™s return,primary-british-report-on-kim-dae-jungs-return,,United Kingdom,"<h4>Kim Dae Jung</h4><p>1. Spence Richardson in the State Department told me the other day that Kim Dae Jung and the Korean government were both still busily painting themselves into opposite corners over the question of Kim's proposed return to Korea. The State Department believes that Kim's earlier intention had been to work out a deal with the Korean government whereby the latter would amend its passport to enable him to travel to Europe, where he would meet Brandt, Palme etc and that he would return to Korea after the National Assembly elections. However, the Korean government appeared to have backed out of this deal, giving as one reason a speech made by Kim recently in New York in which he had questioned Chun's legitimacy. The State Department understood that Kim now planned to return to Korea around the end of this month. A number of eminent Americans including Congressman&nbsp;Barney Frank, former Ambassador to Soul Robert White, and former Assistant Secretary for Human Rights in the Carter Administration, were saying they planned to accompany him to Seoul. </p><p>2. Richardson said that the Korean government were still maintaining their hard line that Kim's sentence still had 17 years to run. The Koreans new very well that if they put him back in jail the United States would have to express strong regret./ Kim for his part probably calculated that the United States' interest in human rights had pulled his chestnuts out of the fire in the past,. and that they would be bound to intervene again. Richardson concluded rather ruefully that their early hopes of sticking to the line that this was not a matter for the U.S. government had proved unrealistic, and that he had no confidence that the Korean government would so handle the matter as to aoid new frictions bewtween the two governments. </p><p><em>Signed: S J Gomersall</em></p>",United States,PENDING,PENDING
Proliferation Assessment: North and South Korea,proliferation-assessment-north-and-south-korea,Report by US Arms Control Agency on proliferation concerns by both North and South Korea.,US Arms Control Agency,"<p>MEMORANDUM</p><p>TO: The Director</p><p>FROM: NWC - Arch Turrentine, Acting </p><p>SUBJECT: Proliferation Assessment: North and South Korea</p><p>We have initiated an internal exercise led by NWC/INA to stimulate discussion and evaluation of existing and potential proliferation problems, focusing on specific countries of proliferation concern. This involves in each case an in-depth reviÂ§..w of the intelligenceÂ· for the past year preparation of a summary paper describing the nuclear program of the country concerned and identifying the key issues involved, followed by an.analysis and recommendations concerning future U.S. policy options. In each case, we have a free-wheeling discussion among appropriate NWC staff (it is strictly an .internal exercise), and eventually we wind up with a summary report, the first of which follows below for your information. (We have combined North and South Korea because they are so closely interrelated.)</p><p>BACKGROUND</p><p>The Korean Peninsula is a region of tension with strong U.S. non-proliferation concerns and economic interests. South Korea has a sense of insecurity regarding the North for good reasons. The conflict between the North and South has a history ranging from full-blown war during the early 19SO's to a controlled dialogue at present. Over the past decade, however, there has been a massive conventional military buildup by the North, and this buildup is continuing.</p><p>South Korea is a party to the NPT and has all of its nuclear program under IAEA safeguards. North Korea is not party to the NPT. While some foreign-supplied facilities in North KOrea are under IAEA safeguards, indigenous facilities are not. </p><p>North Korea has undertaken several major nuclear projects.[REDACTED]...safeguarded nuclear facilities in a region of tension are always a concern to us. Regardless of the nature of the North Korean nuclear program, the ROKG will perceive this effort as a threat to South Korean national security. This perception can, in turn, bring internal pressures within the ROKG to reconsider a nuclear weapons option.</p><p>South Korea does not now have a nuclear weapons program. </p><p>[REDACTED}</p><p>U.S. OBJECTIVES</p><p>The USG has two overriding nuclear-related objectives in this region. First, we want to prevent both North and South Korea- from moving to a nuclear weapons program, Secondly, we want to maintain long-term stable nuclear cooperation with South Korea. We expect this cooperation to include both direct government-to-government support and commercial involvement.</p><p>MEANS OF MEETING THESE OBJECTIVES</p><p>[REDACTED]</p><p>[REDACTED]</p><p>PROBLEMS ON THE HORIZON</p><p>Clearly, the biggest problem is the north Korean nuclear program.</p><p>[REDACTED]</p><p>[REDACTED]</p><p>NEXT STEPS</p><p>[REDACTED]</p><p>-	We should continue our efforts to have all North Korean nuclear facilities placed under IAEA safeguards by working through the USSR</p><p>-	We should continue the close nuclear cooperation that we presently have with the South Koreans by working through the Joint Standing committee on Nuclear and Other Energy Technologies (JSCNOET). For example,Â· the U.S. (DOE), under Section 223 of the Nuclear Waste Policy Act of 1982, has authority to enter into various spent fuel storage and disposal programs with the ROK, as well as cooperating in other areas of radioactive waste management. such cooperation would help direct South Korean R&amp;D efforts away from sensitive nuclear technology</p><p>-	We will demarche the French to determine the nature, scope, and intent of their nuclear cooperation with the ROK</p><p>-	U.S. industry expects to sell an LWR fuel fabrication facility to the ROK shortly</p><p>- &nbsp; &nbsp; &nbsp; [REDACTED]</p><p>â€</p>",United States,,
Recent Government Shakeup Aimed at Improving Economy,recent-government-shakeup-aimed-at-improving-economy,"INR assessment of DPRK ministry consolidation and cabinet reshuffling. Estimates that it was a move to ""improve managerial efficiency and expand access to advanced technology."" Nevertheless, DPRK unlikely and not appearing to seek detente with South or reduce military spending. ",United States,,United States,,
Record of NKDP President Lee Min Woo's visit to the United States,record-of-nkdp-president-lee-min-woos-visit-to-the-united-states,"The Korean opposition parties expressed dissatisfaction after a visit from the US Secretary of State. Korean opposition leaders felt the US was not supporting Korean democratization and instead were focusing on comparing Korea and the Philippines. In response, Lee Min Woo departed for the US to change US attitudes.","United States Department of State, East Asia Pacific Bureau",,,United States Department of State,
Rep. Yatron's meetings with the Two Kims,rep-yatrons-meetings-with-the-two-kims,"Kim Young Sam and Kim Dae Jung, the leaders of two opposition parties in South Korea, met with a US House Representative to ask the US to stop supporting President Chunï¿½s military dictatorship. The two leaders agreed to have shared goals of ensuring direct elections and providing political liberties to the Korean public. Kim Young Sam countered rumors that he was soft on communism by sharing his personal loss due to communism.",US Embassy Seoul,,,,
