Letter to John Rockefeller from Frank Carlucci,1987-05-22,Frank C. Carlucci responded to a previous letter from John Rockefeller stating that he was not as pessimistic as Stephen Cardinal Kim on the situation of South Korea. He and other government representatives saw Chun’s promise to step down as credible and saw multiple opportunities for democratization now and after a new President would take office.
Reagan letter to Chun,1987-06-17,"In a letter to ROK President Chun, President Reagan reaffirmed the US commitment to security guarantees in Korea. He also applauded President Chun’s decision to step down from the Presidency, noting that he hoped Korea could be an example of political development for other countries. He further acknowledged progress on human rights and stated the US would continue to support efforts along this line."
Congressional Record- Senate,1987-06-18,"The US Senate proposed a bill, Democracy in South Korea Act of 1987, which called for suspension of current economic subsidies to South Korea until human rights are protected by South Korean leaders. In addition to the Senate bill, this document contains snippets of two New York Times articles, one describing the anti-government protests and one describing the State Department insistence on a diplomatic route rather than economic pressure for democratization. "
Sigur Meeting with DJP Roh Tae Woo,1987-06-24,"EAP Assistant Secretary Sigur and DJP Chairman Roh Tae Woo met to discuss the DJP’s approach to resolving political tensions in South Korea. Roh stated that while the DJP was committed to negotiations rather than force, the opposition parties should also commit to negotiations over radicalism to achieve political liberalization. Sigur noted that the US remained neutral but committed, but Roh admonished the US for recent statements that came off as interference in South Korean internal affairs."
National Security Council: Sigur Statement,1987-06-26,Sigur stated that the current situation in Korea was full of opportunities but also full of risks of violent confrontation. He described his recent visit and meetings as positive indications that the government will make positive moves.
National Security Council: Roh Calls for Direct Elections,1987-06-29,"Roh Tae Woo makes a speech in which he calls for direct presidential elections. Beyond calling for constitutional changes that allowed direct presidential elections, he stated that friction and confrontation should be eliminated, imprisoned individuals should be released unless they harmed someone with arson, and freedom of press should be reinstated. He stressed that these were urgent changes that should take place to prevent national disgrace during the Olympics and pledged to a be a leader that instituted these changes."
US State Department on Roh’s Initiative ,1987-06-01,"United States analysts suggested that the US should maintain a low-key posture in response to Roh Tae Woo’s speech calling for direct presidential elections. Although there was positive movement and euphoria following his announcements and the President Casdfhun would likely approve his proposals with conditions, there are great risks. If this effort were to fail, analysts note that there would be a high likelihood that the military would exercise its veto power. The US should, they suggested, remind the opposition that they should be prepared to make some concessions."
US State Department on Chun’s Approval of Roh’s Proposals,1987-07-01,"While there is a public support for Chun’s approval of Roh’s proposals, the opposition is more cautious about expressing its praise. Analysts noted the potential for negotiations to falter, particularly on the issue of political prisoners, because of deep suspicion by the opposition of President Chun’s administration. Analysts also noted that workers and farmers were aggrieved by the lack of workers protections in Roh’s proposals. In the general public, US statements of sharing the joy but crediting the Korean people have been received in a favorable light."
US State Department on Release of Political Prisoners,1987-07-03,"In the wake of the death of a student protestor, US analysts noted that tensions could once again spark between Roh and opposition leaders. Despite Roh releasing political prisoners, opposition leaders demanded the release of all prisoners before further negotiations could take place. US analysts noted that the favorability of Roh in the wake of his proposals might fade as students and opposition leaders increase their demands."
Official Information on Progress of Roh’s Proposals,1987-07-01,"US analysts provided context on the progress towards Roh’s previously stated proposals. On the issues of constitutional revision, political prisoners, human rights protections, and freedom of press there had been some forward progress by the government. Constitutional revision and political prisoners were two issues that could still escalate tensions between Roh and opposition leaders, in part because the opposition refused to negotiate until complete amnesty was granted to political prisoners and were proposing a Vice President position that Roh’s party would likely protest against. The US noted that there were still challenges and it was unclear if Roh’s party would continue favorable progress if public opinion shifted towards the opposition."
Meeting with National Security Planning Group,1987-07-06,"In a meeting, US representatives discussed the miracle of the shift towards political liberalization by Roh Tae Woo and the DJP. However, US officials also discussed multiple factors that threaten South Korean political liberalization, including military suspicion and intervention, voter suspicion, and radicalism. A concern mentioned by US officials was that the North should not view Southern internal debate as weakness."
"Memorandum for Grant S. Green, JR.",1987-09-04,"US officials are notified that Roh Tae Woo would be visiting the United States and would appreciate a brief call with the President. US officials sent information to set a time for a quick phone call, and also noted that if opposition leaders were to visit in the future, they would need to be afforded the same respect."
Meeting with Roh Tae Woo,1987-09-14,"Roh Tae Woo met with President Reagan and briefly discussed Korea’s democratization process, which President Reagan noted that the had been watching with interest. Roh Tae Woo stressed the impact of the President in helping ROK start the process of democratization and invited the President to the Seoul Olympics. President Reagan expressed his thanks but did not commit to attending the Seoul Olympics at this time."
Kim Young Sam Letter to President Reagan,1987-09-17,Kim Young Sam wrote to President Reagan expressing his respect for the U.S. Constitution and his hopes that Korean people will soon enjoy democracy as well.
Response to Kim Young Sam Letter,1987-09-17,Gaston Sigur responded to Kim Young Sam expressing his best wishes for the success of the Korean democratization process and noted that Kim Young Sam would receive a warm welcome should he visit the United Stated.
The Friday Group Letter,1987-09-23,"A group of US lobbyists promoted the candidacy of Kim Young Sam based on conventional political wisdom and private numbers showing him to be a guaranteed winner. US lobbyists request that Kim Young Sam receive a response to a previous letter he sent congratulating the US on its celebration of the constitution, and also questioned if a general invitation could be obtained for Kim Young Sam to meet with the President."
Memorandum for Colin Powell,1987-09-30,"James A Kelly stated, in response to a previous letter from the Friday Group, that the State department is taking lead on the reply to Kim Young Sam’s letter, but because he is not the candidate for the opposition party yet it would be inappropriate for the President to meet with him"
Letter to The Friday Group from White House,1987-10-02,The White House stated that Kim Young Sam would not receive a response or invitation from the President.
